match_id,team_id,is_home,possession,passes,shots,shots_on_target,result_id,goals,date
0,1,True,65.4,550,26,5,1,2,2010-11-01
1,2,True,53.1,527,21,5,1,3,2011-04-11
2,3,True,46.1,430,17,6,1,1,2010-12-13
3,4,True,43.3,277,21,9,1,2,2010-09-13
4,5,True,37.4,333,13,5,2,0,2011-02-14
5,3,True,65.6,609,19,4,1,3,2010-08-16
6,6,True,43.0,312,9,2,2,0,2010-10-18
7,7,True,68.2,615,33,7,3,1,2010-12-20
8,8,True,45.3,395,14,4,2,2,2010-11-22
9,7,True,54.4,492,12,3,1,3,2010-08-23
10,9,True,47.9,444,12,4,3,0,2011-01-24
11,6,True,32.8,245,14,3,3,0,2011-04-25
12,10,True,55.1,528,10,6,1,3,2010-12-27
13,4,True,40.5,279,8,3,2,1,2011-02-28
14,2,True,48.9,514,13,6,1,3,2010-12-06
15,1,True,44.0,371,15,4,3,1,2011-03-07
16,5,True,49.1,452,11,4,3,2,2011-05-09
17,11,True,50.4,412,7,1,3,0,2011-01-01
18,2,True,62.6,489,26,5,1,2,2011-01-01
19,7,True,52.2,459,22,3,1,1,2011-01-01
20,4,True,35.9,245,8,1,1,2,2011-01-01
21,8,True,51.8,392,14,4,1,3,2011-01-01
22,12,True,55.5,591,15,5,1,1,2011-01-01
23,13,True,47.7,402,21,3,3,1,2011-01-01
24,14,True,48.1,316,13,7,1,2,2011-01-01
25,15,True,43.0,267,11,2,1,2,2010-12-11
26,16,True,49.8,363,14,5,2,0,2010-12-11
27,5,True,54.5,428,18,9,2,0,2010-12-11
28,17,True,44.9,381,7,3,1,3,2010-12-11
29,4,True,42.5,263,22,4,3,0,2010-12-11
30,14,True,38.8,312,17,3,3,1,2010-12-11
31,10,True,64.3,571,22,11,1,4,2010-09-11
32,16,True,52.3,441,26,6,2,3,2010-09-11
33,5,True,61.3,570,17,3,1,2,2010-09-11
34,7,True,64.9,512,21,10,2,1,2010-09-11
35,17,True,56.5,396,21,7,3,0,2010-09-11
36,13,True,40.3,291,18,7,2,1,2010-09-11
37,14,True,42.6,384,15,4,3,1,2010-09-11
38,18,True,64.0,495,19,3,2,1,2010-09-11
