match_id,team_id,possession,passes,corners,fouls,offsides,shots,shots_on_target,tackles,touches,yellow_cards,red_cards,clearances,is_home
0,1,65.4,550,8,16,2,26,5,19,740,2,0,15,True
1,2,53.1,527,6,6,5,21,5,31,750,1,0,16,True
2,3,46.1,430,5,9,3,17,6,27,635,0,0,26,True
3,4,43.3,277,8,12,2,21,9,16,495,1,0,26,True
4,5,37.4,333,4,11,1,13,5,32,576,2,0,50,True
5,3,65.6,609,5,9,4,19,4,23,820,2,0,15,True
6,6,43.0,312,5,12,6,9,2,15,517,2,1,30,True
7,7,68.2,615,10,10,2,33,7,26,833,2,1,9,True
8,8,45.3,395,4,6,2,14,4,20,622,0,0,44,True
9,7,54.4,492,5,13,1,12,3,30,690,1,0,24,True
10,9,47.9,444,4,8,4,12,4,29,680,0,0,28,True
11,6,32.8,245,4,15,0,14,3,15,440,2,0,33,True
12,10,55.1,528,4,13,5,10,6,29,763,2,0,30,True
13,4,40.5,279,4,16,4,8,3,18,476,2,0,33,True
14,2,48.9,514,4,13,3,13,6,16,715,0,0,18,True
15,1,44.0,371,3,5,0,15,4,21,590,0,0,41,True
16,5,49.1,452,6,17,1,11,4,17,687,5,0,47,True
17,11,50.4,412,4,8,6,7,1,27,607,3,0,22,True
18,2,62.6,489,7,13,4,26,5,17,766,2,0,33,True
19,7,52.2,459,10,11,6,22,3,12,673,0,0,20,True
20,4,35.9,245,1,13,4,8,1,27,476,4,0,44,True
21,8,51.8,392,3,13,2,14,4,20,630,1,0,43,True
22,12,55.5,591,5,12,2,15,5,15,798,2,0,45,True
23,13,47.7,402,4,9,1,21,3,16,604,1,0,19,True
24,14,48.1,316,5,9,5,13,7,12,549,1,0,63,True
25,15,43.0,267,6,9,5,11,2,24,484,0,0,31,True
26,16,49.8,363,9,12,8,14,5,26,605,2,0,23,True
27,5,54.5,428,3,15,1,18,9,17,655,0,0,48,True
28,17,44.9,381,2,21,2,7,3,19,583,2,0,37,True
29,4,42.5,263,10,12,0,22,4,17,463,0,0,29,True
30,14,38.8,312,2,10,1,17,3,16,531,1,0,31,True
31,10,64.3,571,9,11,5,22,11,18,803,2,0,34,True
32,16,52.3,441,7,12,2,26,6,16,638,1,0,20,True
33,5,61.3,570,6,9,6,17,3,17,780,3,0,43,True
34,7,64.9,512,13,15,2,21,10,12,768,2,0,38,True
35,17,56.5,396,3,16,4,21,7,8,597,2,0,17,True
36,13,40.3,291,9,12,3,18,7,24,485,2,0,15,True
37,14,42.6,384,1,15,3,15,4,21,571,2,0,28,True
38,18,64.0,495,5,20,5,19,3,16,685,4,0,21,True
39,10,50.1,476,3,15,2,21,8,17,674,0,0,28,True
40,11,60.6,391,3,16,0,10,4,16,596,1,0,44,True
41,6,42.8,286,2,12,3,7,0,21,489,1,0,37,True
42,1,49.6,352,4,14,3,18,1,26,630,2,0,28,True
43,2,52.7,421,8,11,0,19,4,35,648,1,0,16,True
44,3,49.7,479,4,16,2,11,5,15,676,2,0,19,True
45,8,53.8,455,2,16,2,19,5,19,659,2,0,15,True
46,13,40.9,318,4,12,3,19,10,16,542,2,0,42,True
47,15,40.7,304,9,11,0,17,5,27,515,3,0,34,True
48,7,59.5,499,6,16,3,24,7,11,696,2,0,28,True
49,17,54.0,420,5,11,1,16,4,10,641,2,0,33,True
50,4,40.0,286,4,14,1,18,4,19,485,2,0,36,True
51,12,56.9,417,12,13,1,22,7,13,662,2,0,60,True
52,14,48.5,341,8,7,6,25,2,18,591,0,0,39,True
53,18,60.7,444,5,15,1,13,3,29,700,1,0,29,True
54,19,55.5,414,11,13,2,15,5,14,653,1,0,30,True
55,15,56.8,395,15,16,1,27,5,27,636,1,0,24,True
56,6,30.4,208,1,20,3,7,2,15,450,2,0,48,True
57,9,46.5,336,4,11,5,11,5,26,592,1,0,54,True
58,20,59.5,592,3,12,3,19,12,16,782,1,0,10,True
59,8,44.1,304,3,15,2,9,2,9,514,2,1,49,True
60,12,39.2,374,10,13,1,21,8,27,613,0,0,20,True
61,18,56.4,428,6,8,3,11,5,26,630,1,0,15,True
62,19,61.5,369,5,19,0,15,4,16,588,0,0,46,True
63,6,24.5,225,2,11,0,6,2,15,398,3,0,31,True
64,1,50.9,347,4,16,7,11,5,20,565,2,0,50,True
65,8,59.6,494,5,8,1,14,4,17,710,0,0,24,True
66,13,47.5,362,3,15,4,15,4,18,564,2,0,38,True
67,20,64.9,536,14,11,1,31,6,22,789,1,0,23,True
68,7,50.4,380,11,11,5,17,8,13,618,0,0,56,True
69,4,36.5,204,5,7,3,16,6,22,444,0,0,51,True
70,13,49.5,346,4,12,7,21,7,22,563,1,0,26,True
71,14,30.4,263,4,9,2,9,3,23,483,1,0,33,True
72,18,47.3,375,3,23,2,8,4,23,574,4,0,41,True
73,11,44.8,323,4,7,4,10,3,22,534,0,0,39,True
74,1,49.3,416,4,14,2,13,6,26,642,2,0,27,True
75,16,54.2,359,10,10,1,18,5,22,581,1,0,34,True
76,13,40.4,390,3,8,0,14,2,13,589,1,0,27,True
77,14,47.1,369,5,8,5,17,5,13,574,0,0,32,True
78,10,58.1,570,7,17,3,20,8,13,787,2,1,25,True
79,15,40.0,355,9,11,2,12,2,24,573,4,0,25,True
80,9,59.4,440,5,13,1,12,6,23,660,1,1,45,True
81,5,49.4,454,4,9,4,18,5,32,690,1,0,32,True
82,3,56.0,422,3,10,3,20,6,17,649,1,0,24,True
83,17,57.5,449,6,16,1,14,4,23,649,2,0,13,True
84,19,49.0,435,8,12,0,13,2,17,654,0,0,22,True
85,6,52.0,366,9,12,3,14,3,21,576,2,0,33,True
86,8,47.4,346,2,8,3,13,5,21,601,1,0,53,True
87,15,56.7,399,8,16,3,17,2,11,629,1,0,32,True
88,6,38.9,303,3,19,4,11,4,24,520,0,0,30,True
89,16,51.7,387,3,15,3,12,3,24,595,2,0,21,True
90,4,42.5,271,6,14,3,14,3,16,501,3,0,35,True
91,8,53.5,407,11,12,2,19,4,28,651,3,0,18,True
92,12,57.7,452,5,9,4,26,8,16,658,3,0,23,True
93,13,51.4,404,4,12,3,19,5,11,584,1,0,22,True
94,15,58.5,474,8,17,4,11,2,14,656,1,0,20,True
95,6,52.5,340,8,17,1,26,5,18,541,1,0,17,True
96,16,45.1,348,7,15,1,15,7,22,568,2,0,41,True
97,3,57.5,455,12,9,4,16,6,17,689,0,1,28,True
98,4,39.6,233,3,19,5,8,6,20,433,1,0,39,True
99,12,59.3,501,6,6,1,31,9,28,739,0,0,22,True
100,13,26.1,232,2,10,5,4,2,16,445,1,0,44,True
101,18,60.7,443,9,13,1,22,10,21,659,3,0,29,True
102,10,67.5,531,11,11,2,22,5,12,755,1,0,29,True
103,11,52.3,380,8,13,3,12,5,9,592,0,0,44,True
104,16,46.7,305,5,13,2,14,5,18,500,3,0,31,True
105,17,42.6,273,5,18,3,18,8,14,476,5,0,29,True
106,4,35.7,259,5,10,0,15,5,20,500,1,0,61,True
107,13,50.7,400,0,10,1,20,10,19,605,2,0,21,True
108,14,34.0,274,0,12,2,10,3,21,506,1,0,54,True
109,18,45.7,357,8,12,2,17,3,17,572,1,0,15,True
110,11,49.0,368,6,5,4,6,0,13,557,0,0,34,True
111,4,44.5,257,8,8,1,21,7,5,476,2,0,60,True
112,8,48.0,366,10,11,0,20,3,25,571,1,0,27,True
113,12,53.1,394,10,12,2,27,4,14,591,1,0,15,True
114,13,56.5,399,8,9,0,20,5,15,667,3,0,38,True
115,14,45.6,404,2,24,2,12,3,17,630,3,0,35,True
116,18,60.9,536,3,9,3,26,10,21,740,1,0,23,True
117,10,60.4,513,2,19,5,15,4,14,709,3,0,23,True
118,11,38.2,310,4,10,0,3,1,16,515,2,0,45,True
119,1,44.2,367,4,7,4,13,4,25,624,0,0,61,True
120,9,49.3,355,2,13,4,21,8,31,569,1,0,32,True
121,2,53.7,512,10,7,2,23,9,26,735,0,0,15,True
122,3,67.4,566,11,11,1,16,7,21,774,0,0,11,True
123,13,64.6,419,5,10,0,19,6,17,611,0,0,20,True
124,10,53.3,581,8,10,4,30,12,14,801,0,0,13,True
125,11,56.0,346,4,14,3,13,5,9,565,2,0,58,True
126,16,59.3,421,3,17,3,14,2,16,630,1,0,32,True
127,4,41.7,317,6,15,2,19,7,21,508,3,0,17,True
128,13,54.7,375,4,17,3,12,3,9,589,3,0,42,True
129,14,50.2,350,7,11,6,22,8,9,572,2,0,25,True
130,18,51.2,453,0,12,2,15,5,19,659,1,0,16,True
131,10,62.4,596,8,7,4,24,10,18,778,0,0,10,True
132,15,32.0,281,2,12,1,9,7,31,524,1,0,45,True
133,1,56.8,420,10,14,1,14,8,22,667,2,0,37,True
134,16,60.1,443,12,11,1,12,4,24,678,1,0,35,True
135,5,62.8,498,2,11,5,15,4,17,705,1,0,35,True
136,3,55.9,476,10,11,3,23,8,11,649,0,0,21,True
137,17,35.9,303,1,12,1,15,4,19,493,0,0,19,True
138,19,58.2,450,5,6,3,13,3,21,682,0,0,20,True
139,15,58.8,395,6,9,1,9,2,22,589,0,0,28,True
140,1,57.1,430,4,17,3,17,2,18,665,1,0,43,True
141,20,67.5,594,5,7,4,20,10,19,786,1,0,19,True
142,2,53.5,475,5,7,1,20,11,21,677,1,0,24,True
143,3,59.1,526,13,10,2,21,6,15,729,1,0,19,True
144,8,44.1,294,7,12,1,15,6,22,528,1,0,19,True
145,12,60.1,531,11,8,0,24,3,21,760,1,0,21,True
146,19,42.4,318,3,17,3,11,4,14,516,2,0,28,True
147,11,54.2,458,9,8,4,23,4,14,681,1,0,37,True
148,20,48.5,473,8,10,2,19,5,15,674,1,0,20,True
149,8,47.7,336,4,12,5,14,1,19,552,1,0,42,True
150,12,53.4,403,4,15,0,14,4,27,641,3,0,38,True
151,13,49.9,440,6,4,4,16,6,26,648,0,0,36,True
152,14,40.7,360,2,13,2,11,1,33,566,0,0,31,True
153,18,50.8,372,6,8,1,17,6,29,622,0,0,23,True
154,10,64.3,522,16,16,1,28,6,21,754,4,0,15,True
155,11,56.1,441,4,14,4,11,3,39,654,2,1,25,True
156,1,58.2,393,8,13,1,15,3,24,645,2,0,54,True
157,5,45.8,406,4,14,3,11,2,23,637,2,0,44,True
158,2,54.9,412,3,19,1,14,5,26,634,3,0,33,True
159,7,43.0,375,3,11,2,10,4,37,606,2,0,33,True
160,14,36.1,269,14,10,3,25,7,16,517,2,0,36,True
161,15,59.1,562,10,5,1,22,9,15,760,0,0,10,True
162,16,46.6,373,4,12,2,17,6,23,592,0,0,46,True
163,17,44.9,307,3,10,6,13,4,18,530,0,1,26,True
164,18,48.0,386,8,13,2,11,4,21,612,0,0,24,True
165,19,58.5,519,11,17,3,18,7,15,749,1,0,38,True
166,15,40.7,392,3,10,3,8,4,33,627,1,0,24,True
167,9,48.7,355,4,8,0,32,10,29,597,2,0,32,True
168,16,46.6,345,2,12,1,12,4,30,543,1,1,27,True
169,5,59.0,538,8,12,6,19,6,22,768,1,0,46,True
170,3,64.9,696,5,6,4,17,9,24,887,0,0,16,True
171,4,36.1,281,5,9,0,19,5,16,485,2,0,23,True
172,14,41.0,307,7,8,5,16,5,22,558,0,0,30,True
173,19,54.0,416,11,12,5,18,7,25,667,2,0,34,True
174,6,35.3,281,4,9,5,15,3,26,501,1,0,32,True
175,1,54.0,477,4,13,6,17,5,28,696,1,0,43,True
176,20,73.0,641,6,6,2,21,7,13,828,0,0,24,True
177,3,60.3,580,9,6,1,21,7,31,784,1,0,18,True
178,12,63.4,511,16,12,2,15,3,16,739,3,0,23,True
179,19,44.9,286,5,20,3,6,1,23,461,7,0,35,True
180,6,42.1,240,3,7,7,21,6,16,485,2,0,58,True
181,1,56.4,348,4,12,0,14,3,19,607,0,0,62,True
182,20,52.4,473,6,12,0,20,10,35,684,3,0,9,True
183,8,50.3,463,5,7,4,16,4,20,689,1,0,21,True
184,13,41.0,301,3,13,2,11,4,16,480,2,1,25,True
185,18,50.3,387,3,14,1,15,8,19,576,2,0,34,True
186,10,65.7,546,7,15,3,23,10,26,775,2,0,24,True
187,6,33.9,268,3,13,2,14,4,18,476,2,0,36,True
188,16,64.4,475,6,16,2,19,7,20,673,1,0,32,True
189,5,59.1,560,7,8,5,16,5,33,799,0,0,19,True
190,3,51.3,509,1,12,3,19,10,20,682,0,0,27,True
191,19,52.3,462,5,5,4,10,4,19,676,1,0,37,True
192,10,54.4,504,3,7,2,16,7,20,737,0,0,34,True
193,11,49.3,381,6,15,0,14,4,23,595,1,0,27,True
194,6,41.6,283,8,9,6,11,6,16,499,0,0,57,True
195,20,56.4,490,7,8,3,14,3,21,734,1,0,27,True
196,7,59.0,444,8,12,5,21,7,18,681,2,1,43,True
197,18,64.4,472,5,12,0,15,5,15,659,1,0,28,True
198,15,55.7,483,3,15,2,11,3,22,685,3,0,26,True
199,16,55.5,390,9,12,2,24,10,17,616,0,0,33,True
200,7,52.5,439,8,14,3,16,8,16,623,1,0,19,True
201,17,48.5,355,12,15,7,24,9,16,543,2,0,11,True
202,4,43.7,241,12,8,2,19,5,12,462,1,0,33,True
203,12,53.4,371,6,12,4,20,7,26,627,1,0,57,True
204,18,46.0,300,4,13,3,12,7,29,538,1,0,42,True
205,19,41.7,350,4,9,2,9,4,18,560,2,0,38,True
206,10,62.6,567,5,13,6,14,7,15,806,3,0,23,True
207,11,50.1,436,7,10,1,12,4,24,656,3,0,37,True
208,9,52.6,350,8,19,2,17,4,12,587,5,0,39,True
209,5,55.2,368,9,12,2,20,7,21,624,2,0,46,True
210,7,50.4,463,4,18,1,8,2,22,667,3,0,19,True
211,17,59.7,401,5,12,6,13,3,16,611,2,0,29,True
212,14,56.8,470,7,14,4,23,7,18,684,0,0,35,True
213,11,54.0,451,3,14,2,12,5,15,638,0,0,12,True
214,6,35.8,252,3,17,4,10,4,23,481,0,0,46,True
215,1,48.2,395,3,14,3,15,4,25,631,2,0,55,True
216,9,43.4,326,7,14,2,20,6,36,569,1,0,42,True
217,5,57.1,531,3,14,1,15,5,22,758,1,0,37,True
218,3,51.8,475,3,7,4,17,5,13,661,1,0,24,True
219,8,55.8,377,6,10,2,17,5,25,638,0,0,69,True
220,15,48.3,371,2,6,0,11,5,32,560,2,0,17,True
221,9,52.4,335,5,15,1,20,5,30,562,1,0,38,True
222,16,48.6,346,11,16,1,11,4,19,553,4,0,31,True
223,17,62.6,470,8,11,4,21,10,10,657,1,0,29,True
224,12,58.6,457,7,8,1,24,6,18,740,3,0,46,True
225,14,62.1,350,7,9,6,27,5,15,596,3,0,43,True
226,6,47.1,291,8,11,0,15,1,15,478,2,0,22,True
227,9,41.7,279,4,6,1,25,7,18,505,1,0,35,True
228,20,52.5,432,10,12,0,20,10,30,662,1,0,12,True
229,3,47.8,472,7,12,3,19,8,12,670,0,0,20,True
230,8,50.3,335,5,10,1,10,1,21,564,3,0,17,True
231,12,61.0,455,10,13,0,16,5,19,665,1,0,44,True
232,19,64.4,407,13,15,4,15,2,15,615,0,0,24,True
233,10,54.9,462,3,16,2,10,2,22,685,2,0,28,True
234,11,42.9,287,0,12,1,8,1,15,459,2,1,31,True
235,2,46.3,367,3,16,4,14,5,26,554,1,0,20,True
236,7,59.8,555,9,13,5,21,9,19,757,3,0,21,True
237,15,49.7,379,9,9,4,16,3,25,602,2,0,19,True
238,1,41.1,302,6,15,4,15,3,28,519,2,0,43,True
239,9,49.6,317,3,14,0,14,6,18,547,3,1,44,True
240,12,38.6,324,1,10,1,10,1,25,560,2,0,50,True
241,19,45.9,305,7,11,4,17,8,10,513,2,0,39,True
242,11,43.8,360,4,8,2,17,2,22,576,1,0,39,True
243,9,47.1,349,4,15,1,10,3,25,564,1,0,34,True
244,20,58.3,441,6,12,3,14,3,16,679,1,0,19,True
245,16,48.8,413,8,16,5,19,6,24,629,2,0,21,True
246,2,36.7,303,9,15,5,8,4,30,531,1,1,33,True
247,10,67.7,601,13,9,5,24,6,16,834,1,0,13,True
248,11,57.2,445,5,7,5,11,1,7,661,0,0,30,True
249,20,64.2,484,7,18,2,16,2,20,685,4,0,20,True
250,2,53.5,450,11,13,2,15,3,19,670,2,0,16,True
251,18,58.7,443,9,7,0,29,12,17,679,1,0,18,True
252,11,52.4,404,5,14,1,19,4,20,618,1,0,33,True
253,2,56.1,373,10,17,5,20,11,20,610,3,0,44,True
254,8,48.4,263,5,16,4,13,4,25,495,1,0,38,True
255,12,56.4,427,8,9,1,18,2,22,648,2,0,19,True
256,10,61.7,528,9,12,1,16,5,15,758,2,0,23,True
257,1,56.3,491,3,9,4,16,4,14,707,0,0,26,True
258,16,34.1,277,8,10,0,13,4,27,509,2,0,40,True
259,20,56.5,534,9,8,3,28,8,13,752,1,0,13,True
260,3,49.5,470,6,15,2,19,5,14,664,4,0,25,True
261,18,46.0,401,3,10,1,9,0,20,589,1,0,16,True
262,20,60.9,473,9,20,0,22,7,24,704,2,0,23,True
263,18,51.2,353,3,15,1,9,2,22,567,2,0,35,True
264,13,45.0,356,12,9,6,19,8,13,563,0,0,26,True
265,20,58.7,494,5,15,3,20,4,27,727,2,0,21,True
266,8,52.2,430,3,12,1,6,1,27,654,3,1,18,True
267,6,38.3,311,5,15,1,17,4,18,565,0,0,50,True
268,5,45.4,421,7,15,2,15,2,21,617,2,0,26,True
269,5,42.8,410,5,10,0,20,8,14,629,2,0,38,True
270,17,50.1,380,9,15,1,17,11,19,571,3,0,18,True
271,15,48.5,434,4,14,2,9,3,23,631,2,0,21,True
272,9,40.5,309,6,13,0,15,2,22,520,1,1,22,True
273,16,36.1,278,6,12,2,12,2,13,465,2,1,32,True
274,5,32.2,272,5,14,4,9,3,22,460,2,1,27,True
275,3,58.5,561,8,9,3,20,7,15,745,2,0,20,True
276,17,54.6,402,7,3,3,17,8,29,593,0,0,13,True
277,4,50.8,358,5,10,2,14,6,31,592,1,0,20,True
278,12,67.8,622,7,8,2,24,7,17,853,0,0,37,True
279,14,51.2,431,4,9,4,19,9,21,657,0,0,17,True
280,19,58.3,360,8,13,2,16,4,10,572,3,0,26,True
281,6,44.6,319,9,4,1,18,6,28,574,0,0,33,True
282,9,32.9,259,3,14,2,12,7,26,489,4,0,48,True
283,2,57.3,411,15,18,0,20,8,29,645,2,0,31,True
284,7,34.7,356,6,11,3,10,4,25,552,2,1,17,True
285,4,37.7,285,5,7,3,11,1,16,481,2,0,17,True
286,15,57.3,426,8,13,1,28,10,16,628,3,0,8,True
287,6,56.8,340,5,13,0,11,3,16,529,1,0,41,True
288,9,44.8,367,5,8,3,14,6,22,592,1,0,37,True
289,5,64.4,553,8,13,0,20,5,15,768,1,0,40,True
290,3,56.6,595,5,11,1,16,7,14,778,0,0,27,True
291,17,56.6,448,6,8,1,24,5,28,697,1,0,20,True
292,19,54.6,386,7,7,1,10,3,25,636,1,0,15,True
293,9,34.2,267,7,16,0,15,4,19,478,1,0,56,True
294,17,63.0,472,3,8,2,14,3,16,686,0,0,28,True
295,19,57.7,463,5,14,1,16,7,9,672,1,0,21,True
296,7,50.8,430,10,16,2,14,4,29,644,1,0,28,True
297,14,42.2,361,6,13,0,20,8,20,612,0,0,48,True
298,17,43.0,375,6,10,2,5,3,22,603,2,0,36,True
299,12,50.4,408,5,6,1,20,8,19,651,0,0,29,True
300,15,31.7,243,4,20,1,15,5,22,467,4,0,50,True
301,9,50.8,325,6,20,0,15,5,24,547,2,1,55,True
302,2,51.0,414,7,8,1,11,4,26,625,0,0,30,True
303,8,41.7,392,3,5,2,18,3,33,644,0,0,26,True
304,5,34.6,295,4,15,4,19,6,24,517,2,0,42,True
305,7,50.1,412,6,9,3,16,9,19,614,2,0,26,True
306,20,47.0,405,10,6,8,17,7,21,625,1,0,26,True
307,2,56.8,498,5,11,4,23,8,22,725,2,0,22,True
308,7,51.9,453,4,13,6,11,5,32,656,3,0,28,True
309,15,48.3,385,1,15,3,9,4,16,574,2,0,39,True
310,9,41.2,324,2,16,1,15,4,24,550,2,0,41,True
311,17,54.4,396,8,10,1,25,8,19,623,3,0,22,True
312,8,57.4,471,9,6,4,19,7,30,718,1,0,24,True
313,13,57.6,467,7,11,2,21,6,20,658,0,0,17,True
314,20,56.6,526,4,10,3,20,1,16,716,1,0,20,True
315,14,54.8,377,5,18,2,18,4,13,594,3,0,30,True
316,2,42.4,366,6,12,0,16,6,24,569,2,0,29,True
317,19,53.1,442,7,11,0,18,4,22,648,0,0,26,True
318,10,57.6,512,12,16,4,11,3,32,734,2,1,8,True
319,2,35.3,306,2,16,3,12,6,26,516,0,0,43,True
320,13,39.7,347,6,15,3,13,1,17,549,2,1,25,True
321,3,47.4,367,7,13,3,13,5,32,573,2,0,26,True
322,4,26.6,193,2,7,2,12,5,23,388,1,0,31,True
323,19,45.4,327,8,10,5,14,7,30,551,3,0,26,True
324,10,58.1,467,5,13,1,18,6,24,694,3,0,33,True
325,3,44.2,397,5,8,4,23,10,14,595,0,0,17,True
326,8,35.7,316,0,10,2,6,4,23,535,1,0,39,True
327,13,55.4,414,8,14,3,21,6,18,617,4,0,15,True
328,20,45.0,353,10,10,1,21,8,24,579,3,0,22,True
329,7,38.1,362,2,7,3,9,3,26,584,1,0,53,True
330,11,53.1,366,4,14,8,12,3,15,573,1,0,36,True
331,7,56.3,544,3,7,0,19,5,14,722,0,0,32,True
332,17,40.6,305,6,10,0,12,3,13,510,2,0,25,True
333,1,38.5,310,1,12,0,10,4,25,517,2,0,42,True
334,1,42.4,376,6,13,0,7,3,10,575,1,0,43,True
335,18,54.1,444,5,10,0,21,6,9,657,2,0,21,True
336,4,35.6,265,7,14,0,15,7,21,443,3,0,32,True
337,11,42.7,386,4,11,0,11,2,11,576,3,0,18,True
338,7,49.9,474,7,14,2,13,6,20,648,1,0,19,True
339,4,48.3,318,9,8,2,16,2,15,523,1,0,24,True
340,8,53.0,479,9,7,6,31,11,19,715,2,0,16,True
341,12,55.0,381,9,9,5,16,8,18,596,2,1,31,True
342,13,62.2,430,8,11,4,24,5,11,634,1,1,25,True
343,14,37.5,283,4,12,1,14,0,15,482,1,0,24,True
344,1,59.0,478,3,11,1,24,9,14,707,0,0,40,True
345,5,50.8,446,7,7,0,13,5,37,699,0,0,40,True
346,3,64.3,575,6,6,4,19,2,14,781,0,0,28,True
347,4,47.0,307,10,8,0,22,6,11,552,0,0,29,True
348,12,57.0,426,17,7,2,24,7,18,657,2,0,17,True
349,15,40.6,331,10,10,2,21,8,17,525,2,0,27,True
350,20,57.3,535,4,14,2,21,9,18,754,2,1,22,True
351,16,64.3,429,15,10,2,27,7,15,671,0,1,36,True
352,7,46.6,477,8,11,0,9,2,22,674,0,0,27,True
353,17,64.3,488,4,16,2,8,1,12,668,3,0,20,True
354,14,50.4,371,6,14,6,10,5,28,588,3,0,22,True
355,18,53.3,517,5,10,2,13,6,28,742,0,0,16,True
356,19,52.0,466,5,7,1,18,3,12,679,1,0,25,True
357,1,46.4,389,3,11,3,12,6,22,626,1,0,30,True
358,11,46.7,371,5,9,1,18,5,12,610,0,0,38,True
359,6,46.3,380,4,13,1,18,7,20,595,2,0,26,True
360,1,57.0,428,9,10,3,21,4,26,687,0,0,37,True
361,9,42.6,292,8,15,4,14,4,23,545,1,0,55,True
362,5,49.1,366,5,15,6,16,9,27,584,0,0,31,True
363,2,66.7,507,7,6,1,15,7,28,725,1,0,21,True
364,20,57.1,548,7,9,2,20,6,14,717,0,0,10,True
365,12,45.1,356,7,8,2,17,9,31,600,0,0,42,True
366,10,69.9,657,5,8,3,10,4,21,840,1,0,24,True
367,2,53.5,519,6,11,6,14,3,30,753,0,0,32,True
368,5,51.9,401,10,14,2,19,6,13,635,1,0,27,True
369,20,57.8,429,6,12,10,16,7,11,639,1,0,15,True
370,2,56.4,476,2,8,5,13,3,16,678,1,0,32,True
371,18,39.3,384,3,18,1,8,5,34,616,1,1,28,True
372,10,61.4,584,7,6,3,16,5,26,792,0,1,15,True
373,15,52.2,375,5,9,3,11,1,15,593,3,1,33,True
374,6,32.9,251,0,14,3,10,4,21,503,2,0,51,True
375,9,52.5,381,9,12,0,16,5,17,613,0,0,22,True
376,16,46.5,346,3,18,1,21,10,24,545,1,0,39,True
377,17,51.6,394,4,12,3,14,9,23,600,0,0,25,True
378,19,32.2,249,4,15,2,3,2,22,447,0,0,37,True
379,16,59.0,415,9,8,0,22,9,13,638,1,0,26,True
380,2,51.4,484,7,7,4,16,4,19,671,0,0,8,True
381,21,77.0,912,7,10,0,19,8,13,1081,1,0,8,True
382,20,49.7,463,5,11,0,16,4,16,640,4,0,5,True
383,10,60.9,540,6,11,8,23,8,19,758,2,0,12,True
