match_id,team_id,is_home,possession,passes,shots,shots_on_target
0,1,True,65.4,550,26,5
1,2,True,53.1,527,21,5
2,3,True,46.1,430,17,6
3,4,True,43.3,277,21,9
4,5,True,37.4,333,13,5
5,3,True,65.6,609,19,4
6,6,True,43.0,312,9,2
7,7,True,68.2,615,33,7
8,8,True,45.3,395,14,4
9,7,True,54.4,492,12,3
10,9,True,47.9,444,12,4
11,6,True,32.8,245,14,3
12,10,True,55.1,528,10,6
13,4,True,40.5,279,8,3
14,2,True,48.9,514,13,6
15,1,True,44.0,371,15,4
16,5,True,49.1,452,11,4
17,11,True,50.4,412,7,1
18,2,True,62.6,489,26,5
19,7,True,52.2,459,22,3
20,4,True,35.9,245,8,1
21,8,True,51.8,392,14,4
22,12,True,55.5,591,15,5
23,13,True,47.7,402,21,3
24,14,True,48.1,316,13,7
25,15,True,43.0,267,11,2
26,16,True,49.8,363,14,5
27,5,True,54.5,428,18,9
28,17,True,44.9,381,7,3
29,4,True,42.5,263,22,4
30,14,True,38.8,312,17,3
31,10,True,64.3,571,22,11
32,16,True,52.3,441,26,6
33,5,True,61.3,570,17,3
34,7,True,64.9,512,21,10
35,17,True,56.5,396,21,7
36,13,True,40.3,291,18,7
37,14,True,42.6,384,15,4
38,18,True,64.0,495,19,3
39,10,True,50.1,476,21,8
40,11,True,60.6,391,10,4
41,6,True,42.8,286,7,0
42,1,True,49.6,352,18,1
43,2,True,52.7,421,19,4
44,3,True,49.7,479,11,5
45,8,True,53.8,455,19,5
46,13,True,40.9,318,19,10
47,15,True,40.7,304,17,5
48,7,True,59.5,499,24,7
49,17,True,54.0,420,16,4
50,4,True,40.0,286,18,4
51,12,True,56.9,417,22,7
52,14,True,48.5,341,25,2
53,18,True,60.7,444,13,3
54,19,True,55.5,414,15,5
55,15,True,56.8,395,27,5
56,6,True,30.4,208,7,2
57,9,True,46.5,336,11,5
58,20,True,59.5,592,19,12
59,8,True,44.1,304,9,2
60,12,True,39.2,374,21,8
61,18,True,56.4,428,11,5
62,19,True,61.5,369,15,4
63,6,True,24.5,225,6,2
64,1,True,50.9,347,11,5
65,8,True,59.6,494,14,4
66,13,True,47.5,362,15,4
67,20,True,64.9,536,31,6
68,7,True,50.4,380,17,8
69,4,True,36.5,204,16,6
70,13,True,49.5,346,21,7
71,14,True,30.4,263,9,3
72,18,True,47.3,375,8,4
73,11,True,44.8,323,10,3
74,1,True,49.3,416,13,6
75,16,True,54.2,359,18,5
76,13,True,40.4,390,14,2
77,14,True,47.1,369,17,5
78,10,True,58.1,570,20,8
79,15,True,40.0,355,12,2
80,9,True,59.4,440,12,6
81,5,True,49.4,454,18,5
82,3,True,56.0,422,20,6
83,17,True,57.5,449,14,4
84,19,True,49.0,435,13,2
85,6,True,52.0,366,14,3
86,8,True,47.4,346,13,5
87,15,True,56.7,399,17,2
88,6,True,38.9,303,11,4
89,16,True,51.7,387,12,3
90,4,True,42.5,271,14,3
91,8,True,53.5,407,19,4
92,12,True,57.7,452,26,8
93,13,True,51.4,404,19,5
94,15,True,58.5,474,11,2
95,6,True,52.5,340,26,5
96,16,True,45.1,348,15,7
97,3,True,57.5,455,16,6
98,4,True,39.6,233,8,6
99,12,True,59.3,501,31,9
100,13,True,26.1,232,4,2
101,18,True,60.7,443,22,10
102,10,True,67.5,531,22,5
103,11,True,52.3,380,12,5
104,16,True,46.7,305,14,5
105,17,True,42.6,273,18,8
106,4,True,35.7,259,15,5
107,13,True,50.7,400,20,10
108,14,True,34.0,274,10,3
109,18,True,45.7,357,17,3
110,11,True,49.0,368,6,0
111,4,True,44.5,257,21,7
112,8,True,48.0,366,20,3
113,12,True,53.1,394,27,4
114,13,True,56.5,399,20,5
115,14,True,45.6,404,12,3
116,18,True,60.9,536,26,10
117,10,True,60.4,513,15,4
118,11,True,38.2,310,3,1
119,1,True,44.2,367,13,4
120,9,True,49.3,355,21,8
121,2,True,53.7,512,23,9
122,3,True,67.4,566,16,7
123,13,True,64.6,419,19,6
124,10,True,53.3,581,30,12
125,11,True,56.0,346,13,5
126,16,True,59.3,421,14,2
127,4,True,41.7,317,19,7
128,13,True,54.7,375,12,3
129,14,True,50.2,350,22,8
130,18,True,51.2,453,15,5
131,10,True,62.4,596,24,10
132,15,True,32.0,281,9,7
133,1,True,56.8,420,14,8
134,16,True,60.1,443,12,4
135,5,True,62.8,498,15,4
136,3,True,55.9,476,23,8
137,17,True,35.9,303,15,4
138,19,True,58.2,450,13,3
139,15,True,58.8,395,9,2
140,1,True,57.1,430,17,2
141,20,True,67.5,594,20,10
142,2,True,53.5,475,20,11
143,3,True,59.1,526,21,6
144,8,True,44.1,294,15,6
145,12,True,60.1,531,24,3
146,19,True,42.4,318,11,4
147,11,True,54.2,458,23,4
148,20,True,48.5,473,19,5
149,8,True,47.7,336,14,1
150,12,True,53.4,403,14,4
151,13,True,49.9,440,16,6
152,14,True,40.7,360,11,1
153,18,True,50.8,372,17,6
