match_id,season_id,date,home_team_id,away_team_id,goal_home_ft,goal_away_ft,result
0,1,2010-11-01,1,13,2,1,0
1,1,2011-04-11,2,7,3,0,0
2,1,2010-12-13,3,10,1,0,0
3,1,2010-09-13,4,15,2,1,0
4,1,2011-02-14,5,20,0,0,2
5,1,2010-08-16,3,17,3,0,0
6,1,2010-10-18,6,8,0,0,2
7,1,2010-12-20,7,16,1,2,1
8,1,2010-11-22,8,16,2,2,2
9,1,2010-08-23,7,2,3,0,0
10,1,2011-01-24,9,20,0,4,1
11,1,2011-04-25,6,7,0,1,1
12,1,2010-12-27,10,20,3,1,0
13,1,2011-02-28,4,13,1,1,2
14,1,2010-12-06,2,15,3,0,0
15,1,2011-03-07,1,20,1,3,1
16,1,2011-05-09,5,2,2,5,1
17,1,2011-01-01,11,10,0,3,1
18,1,2011-01-01,2,9,2,1,0
19,1,2011-01-01,7,1,1,0,0
20,1,2011-01-01,4,16,2,0,0
21,1,2011-01-01,8,6,3,0,0
22,1,2011-01-01,12,5,1,0,0
23,1,2011-01-01,13,3,1,2,1
24,1,2011-01-01,14,19,2,0,0
25,1,2010-12-11,15,13,2,1,0
26,1,2010-12-11,16,18,0,0,2
27,1,2010-12-11,5,8,0,0,2
28,1,2010-12-11,17,2,3,1,0
29,1,2010-12-11,4,1,0,1,1
30,1,2010-12-11,14,7,1,3,1
31,1,2010-09-11,10,9,4,1,0
32,1,2010-09-11,16,3,3,3,2
33,1,2010-09-11,5,19,2,1,0
34,1,2010-09-11,7,6,1,1,2
35,1,2010-09-11,17,1,0,2,1
36,1,2010-09-11,13,12,1,1,2
37,1,2010-09-11,14,20,1,3,1
38,1,2010-09-11,18,8,1,1,2
39,1,2011-02-12,10,19,2,0,0
40,1,2011-02-12,11,4,1,0,0
41,1,2011-02-12,6,17,0,0,2
42,1,2011-02-12,1,15,1,1,2
43,1,2011-02-12,2,18,1,1,2
44,1,2011-02-12,3,7,2,1,0
45,1,2011-02-12,8,12,1,2,1
46,1,2011-02-12,13,14,3,3,2
47,1,2010-11-13,15,3,2,2,2
48,1,2010-11-13,7,11,0,0,2
49,1,2010-11-13,17,5,0,0,2
50,1,2010-11-13,4,2,2,0,0
51,1,2010-11-13,12,6,4,2,0
52,1,2010-11-13,14,1,0,0,2
53,1,2010-11-13,18,13,1,0,0
54,1,2010-11-13,19,9,2,3,1
55,1,2010-08-14,15,14,3,0,0
56,1,2010-08-14,6,16,1,0,0
57,1,2010-08-14,9,5,0,0,2
58,1,2010-08-14,20,13,6,0,0
59,1,2010-08-14,8,11,2,2,2
60,1,2010-08-14,12,7,0,0,2
61,1,2010-08-14,18,1,0,4,1
62,1,2010-08-14,19,4,2,1,0
63,1,2011-05-14,6,3,1,1,2
64,1,2011-05-14,1,9,4,3,0
65,1,2011-05-14,8,19,1,3,1
66,1,2011-05-14,13,16,1,0,0
67,1,2011-01-15,20,6,2,0,0
68,1,2011-01-15,7,19,4,3,0
69,1,2011-01-15,4,9,2,0,0
70,1,2011-01-15,13,1,3,2,0
71,1,2011-01-15,14,10,0,3,1
72,1,2011-01-15,18,5,1,1,2
73,1,2011-04-16,11,8,2,0,0
74,1,2011-04-16,1,18,1,3,1
75,1,2011-04-16,16,6,2,0,0
76,1,2011-04-16,13,20,1,3,1
77,1,2011-04-16,14,15,1,2,1
78,1,2010-10-16,10,11,2,1,0
79,1,2010-10-16,15,20,0,0,2
80,1,2010-10-16,9,4,2,1,0
81,1,2010-10-16,5,12,1,2,1
82,1,2010-10-16,3,13,2,2,2
83,1,2010-10-16,17,18,2,2,2
84,1,2010-10-16,19,14,1,1,2
85,1,2010-12-18,6,14,1,1,2
86,1,2010-12-18,8,9,1,0,0
87,1,2010-09-18,15,9,1,1,2
88,1,2010-09-18,6,5,1,1,2
89,1,2010-09-18,16,17,0,1,1
90,1,2010-09-18,4,14,1,1,2
91,1,2010-09-18,8,10,1,1,2
92,1,2010-09-18,12,19,3,1,0
93,1,2010-09-18,13,11,3,1,0
94,1,2011-03-19,15,19,0,1,1
95,1,2011-03-19,6,1,2,2,2
96,1,2011-03-19,16,5,2,1,0
97,1,2011-03-19,3,9,1,0,0
98,1,2011-03-19,4,17,4,0,0
99,1,2011-03-19,12,14,0,0,2
100,1,2011-03-19,13,10,2,2,2
101,1,2011-03-19,18,11,2,1,0
102,1,2011-04-02,10,6,0,0,2
103,1,2011-04-02,11,9,2,1,0
104,1,2011-04-02,16,15,2,2,2
105,1,2011-04-02,17,19,4,1,0
106,1,2011-04-02,4,20,1,1,2
107,1,2011-04-02,13,2,2,1,0
108,1,2011-04-02,14,3,2,4,1
109,1,2011-04-02,18,12,0,0,2
110,1,2010-10-02,11,16,0,2,1
111,1,2010-10-02,4,6,1,0,0
112,1,2010-10-02,8,3,0,0,2
113,1,2010-10-02,12,15,2,1,0
114,1,2010-10-02,13,9,1,1,2
115,1,2010-10-02,14,5,1,1,2
116,1,2010-10-02,18,19,2,0,0
117,1,2010-11-20,10,12,2,3,1
118,1,2010-11-20,11,20,1,0,0
119,1,2010-11-20,1,19,2,1,0
120,1,2010-11-20,9,17,5,1,0
121,1,2010-11-20,2,14,3,0,0
122,1,2010-11-20,3,18,2,0,0
123,1,2010-11-20,13,4,0,3,1
124,1,2010-08-21,10,1,6,0,0
125,1,2010-08-21,11,6,2,1,0
126,1,2010-08-21,16,19,1,1,2
127,1,2010-08-21,4,12,1,2,1
128,1,2010-08-21,13,8,1,0,0
129,1,2010-08-21,14,9,1,3,1
130,1,2010-08-21,18,20,0,6,1
131,1,2011-01-22,10,18,3,0,0
132,1,2011-01-22,15,7,1,0,0
133,1,2011-01-22,1,8,1,2,1
134,1,2011-01-22,16,14,2,2,2
135,1,2011-01-22,5,4,2,0,0
136,1,2011-01-22,3,11,5,0,0
137,1,2011-01-22,17,12,1,1,2
138,1,2011-01-22,19,2,0,3,1
139,1,2011-04-23,15,4,1,1,2
140,1,2011-04-23,1,17,1,1,2
141,1,2011-04-23,20,14,3,0,0
142,1,2011-04-23,2,11,5,0,0
143,1,2011-04-23,3,16,1,0,0
144,1,2011-04-23,8,18,4,2,0
145,1,2011-04-23,12,13,2,2,2
146,1,2011-04-23,19,5,1,1,2
147,1,2010-10-23,11,1,2,0,0
